country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",07-04-2026 21:00,22.348441,82.549611,PM2.5,1,3,2
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",07-04-2026 21:00,22.348441,82.549611,PM10,29,61,45
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",07-04-2026 21:00,22.348441,82.549611,OZONE,2,3,2
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",07-04-2026 21:00,22.06631475,83.33820077,SO2,5,15,8
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",07-04-2026 21:00,28.695381,77.181665,OZONE,16,79,35
India,Delhi,Delhi,"Bawana, Delhi - DPCC",07-04-2026 21:00,28.7762,77.051074,OZONE,15,89,32
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",07-04-2026 21:00,28.7256504,77.2011573,PM10,31,349,109
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",07-04-2026 21:00,28.5710274,77.0719006,NO2,NA,NA,NA
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",07-04-2026 21:00,28.493624,77.201159,SO2,38,51,40
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",07-04-2026 21:00,28.493624,77.201159,OZONE,9,81,25
India,Delhi,Delhi,"JNU, Delhi - DPCC",07-04-2026 21:00,28.540721,77.168544,CO,113,122,117
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",07-04-2026 21:00,28.73282,77.170633,NH3,12,15,13
India,Delhi,Delhi,"ITO, Delhi - CPCB",07-04-2026 21:00,28.628624,77.24106,PM10,44,182,104
India,Delhi,Delhi,"ITO, Delhi - CPCB",07-04-2026 21:00,28.628624,77.24106,SO2,16,32,24
India,Delhi,Delhi,"ITO, Delhi - CPCB",07-04-2026 21:00,28.628624,77.24106,OZONE,38,101,46
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",07-04-2026 21:00,30.735567,76.775714,PM2.5,10,38,23
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",07-04-2026 21:00,30.751462,76.762879,NO2,5,27,14
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",07-04-2026 21:00,28.6514781,77.1473105,PM2.5,45,315,101
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",07-04-2026 21:00,28.6514781,77.1473105,PM10,50,290,100
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",07-04-2026 21:00,28.6514781,77.1473105,SO2,14,17,16
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",07-04-2026 21:00,28.5504249,77.2159377,PM10,57,202,107
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",07-04-2026 21:00,28.710508,77.249485,PM2.5,23,301,84
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",07-04-2026 21:00,28.531346,77.190156,NO2,44,86,61
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC",07-04-2026 21:00,28.62181,77.1944633,NH3,4,5,5
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC",07-04-2026 21:00,28.62181,77.1944633,OZONE,1,10,3
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",07-04-2026 21:00,28.611281,77.237738,NH3,13,15,14
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",07-04-2026 21:00,28.636429,77.201067,PM10,64,145,109
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",07-04-2026 21:00,28.636429,77.201067,CO,28,69,56
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",07-04-2026 21:00,28.636429,77.201067,OZONE,6,73,32
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",07-04-2026 21:00,28.60909,77.0325413,PM2.5,55,92,69
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",07-04-2026 21:00,28.60909,77.0325413,NO2,89,144,101
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",07-04-2026 21:00,28.60909,77.0325413,OZONE,33,78,42
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",07-04-2026 21:00,28.594004,76.909423,PM10,10,152,95
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",07-04-2026 21:00,28.570173,76.933762,PM10,31,129,77
India,Delhi,Delhi,"Narela, Delhi - DPCC",07-04-2026 21:00,28.822836,77.101981,NO2,11,52,22
India,Delhi,Delhi,"Narela, Delhi - DPCC",07-04-2026 21:00,28.822836,77.101981,NH3,5,6,6
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",07-04-2026 21:00,28.56789,77.250515,NO2,40,70,51
India,Delhi,Delhi,"New Moti Bagh, Delhi - MHUA",07-04-2026 21:00,28.57834,77.184,NO2,8,9,9
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",07-04-2026 21:00,28.6573814,77.1585447,PM2.5,14,143,64
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",07-04-2026 21:00,28.6573814,77.1585447,PM10,54,155,104
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",07-04-2026 21:00,28.6573814,77.1585447,NO2,14,67,36
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",07-04-2026 21:00,28.672342,77.31526,OZONE,13,94,29
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",07-04-2026 21:00,28.699793,77.165453,SO2,9,20,14
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",07-04-2026 21:00,28.699793,77.165453,CO,28,88,61
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",07-04-2026 21:00,23.107969,72.574648,PM2.5,20,57,36
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",07-04-2026 21:00,23.107969,72.574648,CO,49,83,66
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",07-04-2026 21:00,23.107969,72.574648,OZONE,9,87,40
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",07-04-2026 21:00,22.977134,72.553024,NO2,29,98,59
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",07-04-2026 21:00,23.002657,72.591912,NO2,82,90,88
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",07-04-2026 21:00,23.041137,72.456691,OZONE,8,68,37
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",07-04-2026 21:00,23.023389,72.515201,PM2.5,18,56,27
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",07-04-2026 21:00,23.023389,72.515201,SO2,5,22,12
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",07-04-2026 21:00,23.076793,72.627874,NH3,2,5,3
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",07-04-2026 21:00,21.755417,72.139056,PM10,57,85,68
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",07-04-2026 21:00,23.163798,72.677768,PM10,85,327,140
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",07-04-2026 21:00,28.674045,77.131023,CO,41,106,81
India,Delhi,Delhi,"Pusa, Delhi - DPCC",07-04-2026 21:00,28.639652,77.146275,CO,22,100,79
India,Delhi,Delhi,"Pusa, Delhi - IMD",07-04-2026 21:00,28.63611,77.173332,PM10,16,144,92
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",07-04-2026 21:00,28.563262,77.186937,NO2,33,87,52
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",07-04-2026 21:00,28.58028,77.233829,NH3,9,11,10
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",07-04-2026 21:00,28.5918245,77.2273074,PM10,42,146,95
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",07-04-2026 21:00,28.611281,77.237738,PM2.5,10,93,43
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",07-04-2026 21:00,23.041137,72.456691,NH3,4,8,5
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",07-04-2026 21:00,23.020509,72.579261,OZONE,3,25,14
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",07-04-2026 21:00,29.14056,75.744941,NH3,13,13,13
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",07-04-2026 21:00,29.14056,75.744941,OZONE,62,136,103
India,Haryana,Jind,"Police Lines, Jind - HSPCB",07-04-2026 21:00,29.307814,76.337619,PM2.5,30,210,66
India,Haryana,Jind,"Police Lines, Jind - HSPCB",07-04-2026 21:00,29.307814,76.337619,SO2,1,2,1
India,Haryana,Jind,"Police Lines, Jind - HSPCB",07-04-2026 21:00,29.307814,76.337619,CO,2,74,40
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",07-04-2026 21:00,29.8006,76.4155,SO2,43,45,44
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",07-04-2026 21:00,29.8006,76.4155,CO,NA,NA,NA
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",07-04-2026 21:00,29.8006,76.4155,OZONE,NA,NA,NA
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",07-04-2026 21:00,28.39072,77.30059,SO2,8,9,8
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",07-04-2026 21:00,28.39072,77.30059,OZONE,14,20,17
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",07-04-2026 21:00,28.376058,77.315741,NO2,28,32,31
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",07-04-2026 21:00,28.376058,77.315741,CO,13,40,40
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",07-04-2026 21:00,28.4417,77.3217,SO2,6,6,6
